umap2d_1,umap2d_2,dynamics_bin
8.076183,9.883291,0.0
8.3448,9.9473715,0.0
6.208154,10.349867,0.0
7.527978,9.998254,0.0
6.9927287,10.442282,0.0
6.4518247,10.460914,0.0
7.8698254,10.563164,0.0
7.2088776,10.045347,0.0
22.17377,11.082855,5.0
21.821873,11.1294775,5.0
24.376465,11.556568,5.0
22.742996,10.788201,5.0
20.86505,11.051458,5.0
4.4862638,10.161357,0.0
4.8407936,10.461636,0.0
19.130985,10.779317,4.0
20.548586,10.734248,5.0
22.704447,10.804617,5.0
23.74966,11.169897,5.0
5.1641293,10.769905,0.0
5.9475207,11.337319,0.0
4.467762,10.521561,0.0
11.467138,13.056869,1.0
11.457973,13.04774,1.0
13.476164,12.688421,2.0
11.683403,13.065296,1.0
17.893932,11.850307,4.0
18.364304,11.611742,5.0
20.32828,11.752502,5.0
22.335821,12.52589,5.0
22.690733,12.416177,5.0
22.700005,12.384436,5.0
23.34571,12.129573,5.0
17.213774,12.316431,4.0
16.29738,11.307216,3.0
19.387682,11.941209,5.0
11.495222,9.574439,2.0
16.983343,11.744941,4.0
4.4308305,10.308458,0.0
7.248527,11.181881,0.0
9.776459,10.60278,1.0
16.643766,13.40138,5.0
17.769083,11.479419,4.0
19.100264,12.156168,5.0
15.6882515,12.153104,4.0
15.380724,13.67131,3.0
15.796982,13.641314,3.0
15.5431185,13.669218,3.0
15.867408,13.614803,3.0
8.1057625,10.981323,0.0
6.181044,10.565525,0.0
8.317797,10.758191,0.0
8.946652,12.416625,0.0
8.805836,12.06735,0.0
8.971795,11.769596,0.0
7.876866,11.779271,0.0
7.533734,11.358986,0.0
15.944126,11.0914345,3.0
12.921698,11.1589155,2.0
12.522009,10.944625,2.0
10.627124,9.9389715,2.0
17.204634,12.605203,4.0
17.817215,12.733542,5.0
20.402266,12.177527,5.0
20.778643,11.946687,5.0
9.696797,10.56421,1.0
14.437363,12.8067255,3.0
8.475992,11.974291,0.0
9.677539,12.407214,0.0
9.060546,12.857309,0.0
12.117163,12.814497,1.0
7.896198,11.135455,0.0
9.323736,12.473197,0.0
7.5878444,11.125705,0.0
7.508319,11.623909,0.0
18.083685,12.240458,5.0
18.175505,12.348193,5.0
4.446557,10.305731,0.0
10.018369,11.349281,1.0
9.18955,11.14053,0.0
12.209223,11.301121,2.0
17.33989,11.920053,4.0
9.9192095,11.119239,2.0
17.74254,11.3127985,4.0
17.624882,11.307679,3.0
23.912663,11.26731,5.0
24.095303,11.305334,5.0
24.13571,11.375617,5.0
17.348532,12.353231,5.0
6.2830973,10.247093,0.0
17.213823,12.790125,5.0
17.211279,11.879933,4.0
17.16734,11.948144,4.0
17.234905,11.928164,4.0
17.156977,11.981951,4.0
18.624147,11.0682335,4.0
4.8491135,9.595065,0.0
5.257073,9.514168,0.0
7.0752754,10.118238,0.0
13.446729,10.5358305,3.0
6.0488453,12.655958,1.0
6.0370755,12.658691,1.0
6.066467,12.673925,1.0
