scheme,rmse_followup
C,0.0791972237686971
C,0.1801638687203416
C,0.0950396857796727
C,0.1217189361898938
C,0.0609293381982358
C,0.1517389646217211
C,0.0333637418193263
C,0.0611512064104114
C,0.0350391904069799
C,0.031345774001791
C,0.0521274988394732
C,0.0820792978243214
C,0.0460030525480715
C,0.0644635850443855
C,0.0426513122248216
C,0.0582219424465282
C,0.0897366940848309
C,0.1005134169393547
C,0.0750814696586234
C,0.045873618084531
C,0.0864103021088094
C,0.1372275710677154
C,0.0587372070372217
C,0.0514029766811573
C,0.0925727051078177
C,0.0915913691124917
C,0.0674377034445642
C,0.1015316016053093
C,0.0337750553118497
C,0.0643445621042884
C,0.0947146258030353
C,0.0426386239409254
C,0.0461628783583456
C,0.0571640993116326
C,0.0506630466299733
C,0.0647946604853051
C,0.0354689837385708
C,0.1597922209516833
C,0.0643630149178312
C,0.0603536038873025
C,0.1028913516219873
C,0.127245059737531
C,0.070099381036318
C,0.2148993438233817
C,0.0527603891710492
C,0.0343622022520602
C,0.0658849536338868
C,0.0540068420088791
C,0.0806353981331804
C,0.0553797162272086
C,0.0484602974689717
C,0.1056313633974297
C,0.08953070799419
C,0.1044284540016296
C,0.0674105416389023
C,0.1312969654364379
C,0.051287588105586
C,0.1269586568446793
C,0.1229112196748618
C,0.0821095042151882
C,0.0937864641268992
C,0.1044669757465933
C,0.1290195692274408
C,0.0416603681629138
C,0.0688812534492382
C,0.1291515746194232
C,0.0904044350649102
C,0.0632981808357356
C,0.0438955452708381
C,0.0692028726884621
C,0.0400123095202165
C,0.0828626638737257
C,0.0698858753150196
C,0.0523203033668415
C,0.1899699489436611
C,0.1074604313866758
C,0.0601609771331696
C,0.0579762728753576
C,0.2666760486586479
C,0.0845198966666026
C,0.0615657635585837
C,0.1069648532955554
C,0.1164166031468453
C,0.0633567528738149
C,0.0584903855331766
C,0.0754998888115355
C,0.0458842696261459
C,0.0614146443999466
C,0.0629614512290542
C,0.0677891578893473
C,0.0569625606921062
C,0.0322108007701853
C,0.0571022601268686
C,0.0449517562510297
C,0.0413033863259444
C,0.0438251897362158
C,0.1030199151475165
C,0.0831719663541032
C,0.0464879169778824
C,0.0653819031569173
C,0.0387176247501807
C,0.0523188422640555
C,0.0417611352454892
C,0.0484094314935812
C,0.0963022625787016
C,0.0689098214341241
C,0.0400753887092304
C,0.0367481728982765
C,0.079382116560474
C,0.076528125108839
C,0.2351267473074853
C,0.0591319085974271
C,0.0548013926471185
C,0.0432851544920436
C,0.1638374122592311
C,0.0358489646852023
C,0.1015586509475341
C,0.0683543698024253
C,0.0627697005266112
C,0.1036874787349411
C,0.0699661481873263
C,0.055694402683479
C,0.0522332171476505
C,0.0751735906548391
C,0.0517776703921269
C,0.0842028228370116
C,0.0652172886217084
C,0.0581602639362594
C,0.0850820260072525
C,0.2175360769449653
C,0.0480525194384791
C,0.0734317827275705
C,0.0622449211298557
C,0.0588489862810552
C,0.0449300946072091
C,0.0433726303911523
C,0.0577171305752725
C,0.0294332200116841
C,0.0487007516181678
C,0.0544271219934375
C,0.0437964225796147
C,0.0516995715745204
C,0.1157398203207865
C,0.0846608714322418
C,0.1435506800908351
C,0.0347987239588006
C,0.0437500538722438
C,0.0668395025239576
C,0.0570883563842389
C,0.0472830529459183
C,0.0858449877862152
C,0.0844296851403905
C,0.0608580614726706
C,0.0698195342158782
C,0.0970544738636338
C,0.0783321644789968
C,0.0509992426514996
C,0.0543465426094228
C,0.0957848124767623
C,0.0377063120858087
C,0.0376178133884499
C,0.0636150660710455
C,0.0561034174100308
C,0.082342766295871
C,0.0760837227600906
C,0.0569605163752162
C,0.0489894272053616
C,0.0469649004128219
C,0.0541926478650716
C,0.1264123323149041
C,0.0642164921125433
C,0.0620469183028754
C,0.0739232524846167
C,0.0599748094677689
C,0.0469349202825648
C,0.0471050703663555
C,0.0848089511152748
C,0.0504443451087692
C,0.1186984967559852
C,0.0378867729721832
C,0.0463918438847609
C,0.0862972302118414
C,0.0517412272072041
C,0.0608554403747457
C,0.0468427985973771
C,0.0987153617629811
C,0.0557519020142113
C,0.086945295296316
C,0.0374344597433052
C,0.1463927633952779
C,0.042695091365005
C,0.0504047609771284
C,0.1580990743683827
C,0.1330551433362182
C,0.1109151045724666
C,0.1403355440134177
C,0.1355641414823719
C,0.1008120868842741
C,0.0481423696261988
C,0.1217129633201587
C,0.0459526727260368
C,0.0506811274704049
C,0.0509003264149522
C,0.1448103064889625
C,0.0629167057717455
C,0.0958636889737235
C,0.0571850630116328
C,0.2474462408473558
C,0.0454880043702022
C,0.1048932986832611
C,0.0561859854729795
C,0.1611473500185199
C,0.046384104177773
C,0.1857202922523235
C,0.0368112346610246
C,0.0719374602672339
C,0.0551991698924075
C,0.0536879234528023
C,0.0827603494629441
C,0.0447028566046497
C,0.0471871083833052
C,0.045656624970638
C,0.059420754414468
C,0.0699945350783566
