map_name,CTX_LH_BANKSSTS_SUVR,CTX_LH_CAUDALANTERIORCINGULATE_SUVR,CTX_LH_CAUDALMIDDLEFRONTAL_SUVR,CTX_LH_CUNEUS_SUVR,CTX_LH_ENTORHINAL_SUVR,CTX_LH_FUSIFORM_SUVR,CTX_LH_INFERIORPARIETAL_SUVR,CTX_LH_INFERIORTEMPORAL_SUVR,CTX_LH_ISTHMUSCINGULATE_SUVR,CTX_LH_LATERALOCCIPITAL_SUVR,CTX_LH_LATERALORBITOFRONTAL_SUVR,CTX_LH_LINGUAL_SUVR,CTX_LH_MEDIALORBITOFRONTAL_SUVR,CTX_LH_MIDDLETEMPORAL_SUVR,CTX_LH_PARAHIPPOCAMPAL_SUVR,CTX_LH_PARACENTRAL_SUVR,CTX_LH_PARSOPERCULARIS_SUVR,CTX_LH_PARSORBITALIS_SUVR,CTX_LH_PARSTRIANGULARIS_SUVR,CTX_LH_PERICALCARINE_SUVR,CTX_LH_POSTCENTRAL_SUVR,CTX_LH_POSTERIORCINGULATE_SUVR,CTX_LH_PRECENTRAL_SUVR,CTX_LH_PRECUNEUS_SUVR,CTX_LH_ROSTRALANTERIORCINGULATE_SUVR,CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR,CTX_LH_SUPERIORFRONTAL_SUVR,CTX_LH_SUPERIORPARIETAL_SUVR,CTX_LH_SUPERIORTEMPORAL_SUVR,CTX_LH_SUPRAMARGINAL_SUVR,CTX_LH_FRONTALPOLE_SUVR,CTX_LH_TEMPORALPOLE_SUVR,CTX_LH_TRANSVERSETEMPORAL_SUVR,CTX_LH_INSULA_SUVR
subtype1_stage22,1.5585067567567568,1.4553783783783785,1.379222972972973,1.1521418918918918,0.9752027027027028,1.2524527027027026,1.3488445945945948,1.306614864864865,1.4254527027027029,1.1696216216216215,1.411898648648649,1.1058310810810812,1.3672027027027027,1.267472972972973,1.0878986486486486,1.3381756756756755,1.3685135135135136,1.3279932432432433,1.4042567567567563,1.302445945945946,1.1798243243243245,1.5019391891891891,1.2354527027027025,1.4888513513513515,1.4267094594594594,1.4207027027027028,1.3389391891891893,1.2757432432432432,1.2399054054054053,1.3513851351351351,1.2101824324324324,1.0525945945945945,1.2625810810810811,1.2575675675675675
subtype1_stage24,1.7875509933774836,1.6093708609271524,1.5763470198675498,1.3539668874172186,1.0491523178807949,1.4498476821192052,1.5832503311258277,1.5340900662251655,1.5876768211920531,1.412158940397351,1.5880543046357616,1.2942490066225163,1.5572317880794702,1.4856649006622518,1.1896887417218542,1.5031933774834438,1.5381059602649003,1.5040092715231788,1.5662370860927153,1.558094039735099,1.3496940397350994,1.67903178807947,1.3974291390728475,1.7063443708609272,1.6091562913907285,1.630519205298013,1.5298264900662248,1.47898940397351,1.4232874172185428,1.5311960264900664,1.4241708609271524,1.2022000000000002,1.4526384105960264,1.4118423841059604
subtype2_stage2,1.213736842105263,1.0756315789473685,1.041438596491228,1.0839649122807018,0.8818421052631579,1.0509298245614034,1.0756842105263158,1.0354736842105263,1.1066140350877192,1.1349298245614037,1.0785438596491228,1.032421052631579,0.9668070175438596,0.9905087719298244,0.9304385964912282,1.0825263157894738,1.0418947368421054,1.0099824561403508,1.071157894736842,1.206438596491228,1.0041052631578948,1.0811929824561404,1.067859649122807,1.0763157894736843,0.999315789473684,1.0172105263157896,0.964859649122807,1.024859649122807,0.9822982456140352,1.0450526315789472,0.8653508771929824,0.9009298245614036,1.0218596491228071,1.004017543859649
subtype2_stage4,1.2252258064516128,1.1066451612903228,1.0519354838709678,1.098322580645161,0.877741935483871,1.0541935483870968,1.089290322580645,1.042451612903226,1.1178709677419354,1.1351290322580645,1.090483870967742,1.0435483870967743,0.9730645161290324,0.9952258064516128,0.9282580645161292,1.1182258064516128,1.0394193548387096,1.0086774193548385,1.0555806451612904,1.238064516129032,1.0111612903225806,1.1136129032258066,1.0811290322580644,1.0909032258064515,1.0279354838709678,1.0304193548387095,0.9831290322580644,1.0532258064516131,0.979967741935484,1.053806451612903,0.8456129032258065,0.883193548387097,1.037838709677419,1.0129032258064516
subtype2_stage6,1.262891891891892,1.139945945945946,1.0793243243243242,1.1269189189189188,0.9092162162162162,1.1007567567567569,1.1375405405405403,1.104216216216216,1.150081081081081,1.1634324324324323,1.1383243243243244,1.0638108108108109,1.005297297297297,1.0414324324324324,0.9584054054054056,1.131702702702703,1.0812432432432435,1.079837837837838,1.1115405405405403,1.2682972972972972,1.0423783783783784,1.1452432432432436,1.0945945945945943,1.1247027027027028,1.0712162162162162,1.0717837837837838,1.0111621621621618,1.0844054054054053,1.005837837837838,1.1047567567567562,0.9005405405405406,0.9337567567567568,1.040054054054054,1.039459459459459
subtype2_stage8,1.3264,1.1402666666666668,1.1046000000000002,1.1319333333333332,0.8788666666666668,1.1676666666666666,1.1952666666666665,1.185533333333333,1.1469333333333334,1.2204000000000002,1.1468666666666667,1.1018666666666663,1.0427333333333333,1.112866666666667,1.0069333333333332,1.1223999999999998,1.0972666666666666,1.0674666666666668,1.1299333333333337,1.2413333333333334,1.0564666666666669,1.1554000000000002,1.0980666666666667,1.1640666666666668,1.1013333333333333,1.0992666666666666,1.0384,1.1324,1.0586666666666666,1.154866666666667,0.9393333333333332,0.9062666666666668,1.0559333333333334,1.0511333333333337
subtype2_stage10,1.3620000000000003,1.1566666666666667,1.1112666666666666,1.1529333333333334,0.9360666666666668,1.1525333333333332,1.2035333333333336,1.1690666666666667,1.1704,1.1912,1.189533333333333,1.1094000000000002,1.0612666666666666,1.1229333333333331,0.9755999999999998,1.1466666666666667,1.14,1.1216666666666668,1.159266666666667,1.2907333333333333,1.046266666666667,1.1844666666666666,1.0974,1.1816,1.123,1.1253333333333335,1.0601333333333334,1.122,1.0660666666666667,1.1860666666666666,0.9446666666666664,0.9496,1.0731333333333333,1.0769333333333333
subtype2_stage12,1.4038749999999998,1.192875,1.185375,1.192625,0.91525,1.236,1.277625,1.253125,1.21825,1.353125,1.176625,1.12,1.0612499999999998,1.18825,1.009875,1.169125,1.1102500000000002,1.12925,1.164375,1.3777499999999998,1.0543749999999998,1.23475,1.12925,1.224125,1.120375,1.1803750000000002,1.07775,1.173125,1.080375,1.1807500000000002,0.970625,0.94125,1.020625,1.066875
subtype2_stage14,1.4050909090909092,1.1704545454545454,1.1582727272727271,1.1979090909090908,0.8556363636363638,1.181,1.258181818181818,1.1952727272727273,1.2037272727272723,1.2917272727272726,1.172,1.1350909090909092,1.0571818181818182,1.1453636363636364,0.965818181818182,1.128272727272727,1.1404545454545454,1.0886363636363638,1.1574545454545455,1.2997272727272726,1.046818181818182,1.2052727272727273,1.1007272727272726,1.2676363636363637,1.1086363636363636,1.170909090909091,1.0775454545454546,1.182090909090909,1.05,1.1566363636363637,0.9548181818181818,0.9065454545454544,1.0317272727272728,1.056909090909091
subtype2_stage16,1.474875,1.217625,1.214625,1.19875,0.945125,1.21725,1.400125,1.2405,1.274,1.376,1.2003750000000002,1.102625,1.05425,1.1811250000000002,1.013125,1.2095,1.13525,1.11725,1.196625,1.308125,1.13925,1.2845,1.188125,1.34675,1.117375,1.1298750000000002,1.097625,1.338875,1.131875,1.261125,0.95225,0.932875,1.122625,1.0925
subtype2_stage17,1.565,1.2427142857142857,1.209857142857143,1.3807142857142858,0.9432857142857144,1.2392857142857143,1.4585714285714284,1.268,1.414,1.493857142857143,1.1931428571428573,1.1938571428571427,1.0524285714285713,1.2365714285714289,1.0735714285714286,1.3217142857142858,1.1760000000000002,1.1054285714285714,1.164571428571428,1.461142857142857,1.1321428571428571,1.3992857142857142,1.1572857142857145,1.538285714285714,1.0834285714285714,1.127857142857143,1.0885714285714283,1.4200000000000002,1.1615714285714287,1.2941428571428573,0.9241428571428572,0.9328571428571428,1.1157142857142854,1.094714285714286
subtype2_stage20,1.414,1.228375,1.266375,1.286375,0.9915,1.31325,1.272625,1.272625,1.309375,1.37125,1.1942499999999998,1.271875,1.00725,1.184875,1.09075,1.2501250000000002,1.134875,1.16625,1.1515,1.507,1.11525,1.3112499999999998,1.173125,1.392875,1.08675,1.1635,1.139125,1.265375,1.111625,1.234625,0.8831249999999999,0.965375,1.12025,1.112625
subtype2_stage22,1.546,1.2535,1.4005,1.3864999999999998,0.961,1.3015,1.386,1.281,1.3895,1.4865,1.2105,1.3555,1.182,1.2295,1.0695,1.271,1.2715,1.215,1.2545,1.611,1.195,1.36,1.2575,1.4295,1.237,1.25,1.221,1.3290000000000002,1.17,1.2495,1.0965,0.97,1.1935,1.0995
subtype2_stage24,1.7886941176470588,1.458364705882353,1.5363764705882357,1.6241882352941177,1.037070588235294,1.5381999999999998,1.6159882352941182,1.567058823529412,1.5059058823529412,1.699094117647059,1.4841647058823533,1.5496117647058825,1.411870588235294,1.5071529411764706,1.183823529411765,1.4478,1.4561058823529414,1.4180117647058823,1.4531176470588236,1.8231529411764704,1.3396823529411763,1.5730823529411766,1.3872823529411762,1.6626235294117648,1.4279647058823528,1.5320588235294117,1.4234,1.5433764705882351,1.384305882352941,1.5026705882352938,1.3402823529411765,1.1534705882352942,1.4061294117647058,1.3185764705882352
