umap1,umap2,dynamics_bin,stage_label
-3.837817,0.8155822,0,S0
-3.8296897,0.79757476,1,S1-2
1.6942489,0.23996295,0,S0
1.5184482,0.45554653,0,S0
-6.9595337,-2.154619,3,S7-15
-7.538608,-2.7764149,2,S3-6
-7.5838003,-2.9851415,2,S3-6
-7.3719873,-3.0986922,3,S7-15
-7.2795806,-3.0642917,3,S7-15
-3.440977,-2.6841168,1,S1-2
-5.386416,-2.482234,2,S3-6
-6.1702423,-2.828098,3,S7-15
-7.1640906,-3.2910166,3,S7-15
-3.6701396,0.8723089,0,S0
-0.15255252,-0.26240546,0,S0
-7.95546,-1.9164271,3,S7-15
-7.8790097,-1.9810503,3,S7-15
-7.7051415,-1.9961269,3,S7-15
-7.689466,-2.264028,3,S7-15
-0.4720027,1.1840726,0,S0
0.55181986,1.051298,0,S0
0.28074482,1.2218384,0,S0
0.4897408,0.30586275,0,S0
2.5476232,2.3592267,0,S0
-3.9053357,-1.1508074,1,S1-2
-3.8301399,-1.0619297,1,S1-2
-1.3914243,2.0372417,0,S0
-3.985723,0.23127021,1,S1-2
-3.4009988,0.18176754,0,S0
-2.6397212,-2.2053752,1,S1-2
-2.8051598,-2.1751208,0,S0
-2.8382852,-2.2117267,0,S0
-3.2924643,-2.2384694,1,S1-2
-4.22953,-2.757493,1,S1-2
-0.2380784,2.517731,0,S0
-1.364728,2.1631784,0,S0
3.4100266,1.6782498,0,S0
3.6792233,1.7803171,0,S0
3.2341852,1.5941004,0,S0
2.621382,1.1429214,0,S0
0.25288424,0.3369612,0,S0
-1.4575651,0.52632797,0,S0
-0.1047193,-0.16796033,0,S0
-3.6822138,-0.3126878,1,S1-2
1.6724671,1.355742,0,S0
-1.1632156,-1.1689473,0,S0
-1.5020524,-1.5786235,0,S0
-1.3983402,-1.4342492,0,S0
-2.1411052,2.3942435,0,S0
-3.8176453,2.0036504,0,S0
-3.342818,2.3794591,0,S0
-2.182156,1.9997475,0,S0
-2.8132162,1.5018383,0,S0
-2.2751298,1.6094872,0,S0
1.8271846,3.2198567,0,S0
-0.98352516,0.0544953,0,S0
-5.818138,-0.40610495,1,S1-2
-1.096979,1.1864837,0,S0
-0.92388076,0.6463848,0,S0
-4.0746136,1.344349,0,S0
-0.20245843,-0.4032903,0,S0
-0.68962497,0.74400955,0,S0
0.8624562,3.1984513,0,S0
0.03564257,0.6264588,0,S0
-9.914475,-4.2899036,4,S16-20
-9.933244,-4.1370564,4,S16-20
-9.857761,-3.9324694,4,S16-20
2.980336,1.428317,0,S0
-2.6760852,1.2261382,0,S0
-2.6399117,1.3894806,0,S0
-4.076544,-1.2361026,1,S1-2
-5.92197,-2.4485097,1,S1-2
-5.9494376,-3.064442,2,S3-6
0.847355,3.1907299,0,S0
-0.66592157,1.9001362,0,S0
-4.592389,-2.6847305,1,S1-2
0.60196835,0.28129613,0,S0
-5.342124,-1.0119756,2,S3-6
-10.076233,-4.484738,4,S16-20
-4.546487,0.74989235,1,S1-2
-4.492868,0.48447177,0,S0
-2.6400328,0.063596524,0,S0
-9.879111,-4.768657,4,S16-20
-9.649109,-4.7139573,4,S16-20
-9.791825,-4.7413626,4,S16-20
3.5536165,3.5070302,0,S0
-6.1540585,0.38168028,1,S1-2
-6.0783625,0.5646082,1,S1-2
-4.420552,0.6290038,1,S1-2
-2.4706514,0.08644842,0,S0
-3.4570138,-0.069632344,0,S0
3.4085898,3.39989,0,S0
0.083242685,2.975935,0,S0
-6.9672313,-1.0810653,2,S3-6
-4.392472,-0.8029329,0,S0
-1.3829651,2.7420967,0,S0
-1.3216022,0.6284017,0,S0
-2.3171146,0.8410234,0,S0
-6.8625836,-3.651107,3,S7-15
-7.71322,-4.1718287,3,S7-15
-1.7108955,-1.7564766,0,S0
-1.3714662,0.39220056,0,S0
-0.5008531,0.5156359,0,S0
-1.820932,0.40110573,0,S0
-2.0673552,0.24470583,1,S1-2
2.6007943,2.5495305,0,S0
1.5657408,2.4624553,0,S0
-6.653743,-1.0086893,2,S3-6
-6.3348017,-0.9281792,2,S3-6
-6.500126,-0.7229639,2,S3-6
0.25837696,1.532299,0,S0
3.0222425,2.6509442,0,S0
3.3450518,2.69887,0,S0
1.1252533,1.8703139,0,S0
1.8056936,2.1146832,0,S0
1.9175531,2.374017,0,S0
-3.3347607,2.2294784,0,S0
-1.849011,0.59907615,0,S0
-5.956828,-4.280781,1,S1-2
-6.0889063,-4.2690525,2,S3-6
-1.746016,2.6435854,0,S0
-9.337474,-4.36566,4,S16-20
3.7370021,3.4208663,0,S0
-6.571018,-2.5137048,3,S7-15
-8.36759,-3.4414792,4,S16-20
-8.171157,-3.4041939,3,S7-15
-8.153183,-3.4217973,3,S7-15
-10.1873045,-4.127719,4,S16-20
-10.119642,-4.212288,4,S16-20
-3.9138823,1.8296611,0,S0
-2.1536965,-0.25307333,0,S0
-9.187356,-4.5434895,4,S16-20
3.9306204,2.8223786,0,S0
3.8196537,2.7781234,0,S0
0.896965,0.45199957,1,S1-2
-3.2251303,-0.9434118,1,S1-2
-5.015126,-2.229015,2,S3-6
1.4854336,-0.12658425,0,S0
1.8171582,-0.20914012,0,S0
-0.9287476,1.5886549,0,S0
1.2705977,0.38448292,0,S0
3.1001654,1.5173856,0,S0
3.339783,1.3962876,0,S0
2.8917933,1.2555801,0,S0
-1.0325238,2.3646858,0,S0
2.6602945,3.338143,0,S0
-1.9681737,1.451306,0,S0
-3.4687762,0.7705004,0,S0
0.9219117,2.535148,0,S0
-9.029224,-5.2425547,4,S16-20
-9.171935,-5.2059216,4,S16-20
-9.352532,-5.0960255,4,S16-20
-6.189605,-1.8278623,3,S7-15
2.5090377,2.7667074,0,S0
2.5010571,3.0003784,0,S0
2.1903386,3.1936705,0,S0
-3.639996,-1.7252423,1,S1-2
-4.000364,-1.763274,1,S1-2
-7.143223,-4.082217,3,S7-15
4.0985503,2.5810893,0,S0
-5.2382483,-1.1913167,2,S3-6
-5.578189,-4.193939,1,S1-2
3.5937476,1.5117484,0,S0
3.2725332,2.1130772,0,S0
-1.7435778,2.2391288,0,S0
-4.016336,0.6105065,1,S1-2
-7.978835,-4.2493353,3,S7-15
-1.1275225,-0.046109095,0,S0
-3.6464512,0.4854491,0,S0
-8.404064,-4.3718944,3,S7-15
-9.819164,-4.024155,4,S16-20
-9.820988,-3.9067652,4,S16-20
-9.811367,-3.8798463,4,S16-20
-9.111238,-4.2151437,4,S16-20
-9.147613,-4.30194,4,S16-20
-9.008201,-4.170742,4,S16-20
-9.198842,-4.568986,4,S16-20
-4.0870657,0.72009444,0,S0
-5.706626,-1.4283307,2,S3-6
-6.9673243,-2.2568614,3,S7-15
-7.285674,-3.919239,3,S7-15
-8.798335,-4.852048,4,S16-20
-0.6469245,-0.31501386,0,S0
-2.847286,-0.6099575,1,S1-2
-1.181814,-0.48320287,1,S1-2
-4.276065,-1.2365602,1,S1-2
-9.821795,-4.5211377,4,S16-20
-9.880992,-4.5487533,4,S16-20
-9.985057,-4.642237,4,S16-20
-7.3717704,-3.1179428,3,S7-15
-3.615418,0.1628961,0,S0
-2.9197705,-1.0815711,1,S1-2
-4.508617,-1.5619334,1,S1-2
-8.153787,-3.7697766,4,S16-20
-9.107322,-4.245761,4,S16-20
0.5465129,0.9041887,0,S0
-9.665247,-3.663683,4,S16-20
-0.13786113,2.3210623,0,S0
