map_name,subtype_label,stage,n_samples,CTX_LH_BANKSSTS_SUVR,CTX_LH_CAUDALANTERIORCINGULATE_SUVR,CTX_LH_CAUDALMIDDLEFRONTAL_SUVR,CTX_LH_CUNEUS_SUVR,CTX_LH_ENTORHINAL_SUVR,CTX_LH_FUSIFORM_SUVR,CTX_LH_INFERIORPARIETAL_SUVR,CTX_LH_INFERIORTEMPORAL_SUVR,CTX_LH_ISTHMUSCINGULATE_SUVR,CTX_LH_LATERALOCCIPITAL_SUVR,CTX_LH_LATERALORBITOFRONTAL_SUVR,CTX_LH_LINGUAL_SUVR,CTX_LH_MEDIALORBITOFRONTAL_SUVR,CTX_LH_MIDDLETEMPORAL_SUVR,CTX_LH_PARAHIPPOCAMPAL_SUVR,CTX_LH_PARACENTRAL_SUVR,CTX_LH_PARSOPERCULARIS_SUVR,CTX_LH_PARSORBITALIS_SUVR,CTX_LH_PARSTRIANGULARIS_SUVR,CTX_LH_PERICALCARINE_SUVR,CTX_LH_POSTCENTRAL_SUVR,CTX_LH_POSTERIORCINGULATE_SUVR,CTX_LH_PRECENTRAL_SUVR,CTX_LH_PRECUNEUS_SUVR,CTX_LH_ROSTRALANTERIORCINGULATE_SUVR,CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR,CTX_LH_SUPERIORFRONTAL_SUVR,CTX_LH_SUPERIORPARIETAL_SUVR,CTX_LH_SUPERIORTEMPORAL_SUVR,CTX_LH_SUPRAMARGINAL_SUVR,CTX_LH_FRONTALPOLE_SUVR,CTX_LH_TEMPORALPOLE_SUVR,CTX_LH_TRANSVERSETEMPORAL_SUVR,CTX_LH_INSULA_SUVR
subtype1_stage10,subtype1,10.0,6,3.483333333333333,1.1813333333333331,1.6238333333333337,0.9256666666666667,2.2393333333333336,3.133833333333333,2.7161666666666666,3.5791666666666675,1.8471666666666664,1.6021666666666663,1.4276666666666664,1.3016666666666667,1.4276666666666669,3.3078333333333334,2.3418333333333337,1.0126666666666664,1.3455,1.4163333333333334,1.2876666666666667,0.7128333333333333,1.066,1.8333333333333333,1.1083333333333334,1.9581666666666668,1.1931666666666667,1.3035,1.383,1.5008333333333332,1.9793333333333336,2.366,1.2968333333333333,1.8391666666666664,0.6273333333333333,1.5413333333333334
subtype1_stage11,subtype1,11.0,7,2.141428571428571,1.0797142857142858,1.5324285714285717,1.035,2.1635714285714287,2.050428571428572,2.029142857142857,2.775714285714286,1.8024285714285715,1.449142857142857,1.317,1.1962857142857144,1.350857142857143,2.400714285714286,1.8471428571428568,1.2624285714285717,1.288,1.299,1.2484285714285712,0.8815714285714285,1.102285714285714,1.6657142857142857,1.1271428571428572,1.6334285714285717,1.243142857142857,1.3685714285714283,1.3888571428571428,1.429857142857143,1.6649999999999998,1.6018571428571426,1.392285714285714,1.8220000000000005,0.8967142857142857,1.4154285714285717
subtype1_stage12,subtype1,12.0,6,1.741,1.0106666666666668,1.234,1.2259999999999998,2.1410000000000005,1.8718333333333337,1.870333333333333,2.4235,1.5736666666666668,1.5015,1.282166666666667,1.153,1.269,2.0458333333333334,1.8693333333333333,1.0356666666666663,1.1791666666666667,1.3096666666666668,1.158,0.867,1.0696666666666668,1.3451666666666666,1.034,1.6075,1.1156666666666666,1.2416666666666665,1.1966666666666668,1.5356666666666667,1.3871666666666669,1.5448333333333333,1.3115,1.6208333333333331,0.8544999999999999,1.2691666666666668
subtype1_stage13,subtype1,13.0,7,2.044714285714285,1.099,1.3467142857142858,1.353,2.3222857142857145,1.8185714285714285,2.0215714285714284,2.1782857142857144,1.639857142857143,1.5571428571428572,1.374142857142857,1.282714285714286,1.287,2.0355714285714286,1.7411428571428569,1.1587142857142858,1.27,1.3847142857142856,1.2571428571428571,1.051142857142857,1.1557142857142857,1.495,1.1205714285714286,1.7912857142857146,1.1384285714285716,1.3552857142857142,1.2664285714285712,1.81,1.5085714285714285,1.6087142857142858,1.3369999999999995,1.560857142857143,0.9948571428571428,1.3218571428571428
subtype1_stage14,subtype1,14.0,16,2.091125,1.136,1.7270625,1.0588125,2.1580625,1.8008125,1.990625,2.3490625,1.779,1.360375,1.4228125,1.159125,1.323375,2.0820625,1.8828125,1.1238125,1.3956875000000002,1.478,1.344625,0.899875,1.1253125,1.6204375,1.20075,1.700625,1.13075,1.606625,1.4356875,1.468125,1.49425,1.82425,1.4781875,1.5905,0.7742500000000001,1.34225
subtype1_stage15,subtype1,15.0,4,2.21225,1.23375,1.81325,1.05925,2.152,1.90475,2.21625,2.5665000000000004,1.9185,1.2939999999999998,1.463,1.15975,1.467,2.4285,2.0455,1.345,1.57475,1.45025,1.487,0.92625,1.5305,1.813,1.3005,2.093,1.24225,1.58675,1.56025,1.4847500000000002,1.7735,2.105,1.59425,1.76225,0.9725,1.3650000000000002
subtype1_stage16,subtype1,16.0,27,2.292851851851852,1.4715555555555555,2.3165925925925928,1.0113333333333332,2.208037037037037,1.9591111111111112,2.195407407407408,2.7000740740740747,1.9554814814814816,1.3664074074074075,1.9212222222222224,1.1882962962962962,1.735259259259259,2.5682592592592592,2.0445185185185184,1.2071481481481483,1.9868888888888887,1.8776666666666664,1.759259259259259,0.9398148148148148,1.4088518518518516,1.9361111111111111,1.436111111111111,1.9840740740740743,1.4356296296296296,2.182259259259259,2.023629629629629,1.6140370370370367,1.7485925925925925,2.141,1.8782962962962964,1.814148148148148,0.883888888888889,1.603259259259259
subtype1_stage17,subtype1,17.0,10,3.1512,1.5073,2.7012,1.1606999999999998,2.3074,2.3745000000000003,2.8671,3.1279000000000003,2.1636,1.6668000000000005,2.1152,1.3837,1.734,2.8774999999999995,2.1184,1.2112,2.3273,1.6712000000000002,1.9913,1.0012,1.4684,2.1536,1.5926,2.4622,1.4792,2.6666000000000003,2.2713,2.0489,1.9917,2.5894000000000004,1.8132,1.8752,0.988,1.7558
subtype1_stage18,subtype1,18.0,10,4.6969,1.3330000000000002,2.9445,1.4973,2.5866,3.4675,3.8281,4.0977,2.8286,2.6762,2.2058,1.7883,1.8823,3.9618,2.2608,1.0696,2.4136,1.905,2.0982000000000003,0.8603,1.2884,2.3243,1.5038,2.7158,1.5677,2.2825,1.9633000000000005,2.2251000000000003,2.7499,2.935,1.6073999999999995,2.2382,0.9625,2.0489
subtype1_stage19,subtype1,19.0,10,3.7342,1.3975,2.4489,1.6497,2.6698,3.3982,3.1587,3.8025000000000007,2.3996000000000004,2.7033,2.1131,1.8216,1.8571,3.3519000000000005,2.3693,1.1853000000000002,2.2405000000000004,1.9693,1.9532000000000005,1.1616,1.4214,2.1288,1.4916,2.4194,1.4803000000000002,2.3132,1.9055,2.3774,2.5628,2.7436,1.8563000000000005,2.5091,1.0326,1.8656
